22:49:59 DEBUG : Logs will be stored at '/home/y/work/kv260/2022.1/WorkSpace/add7/IDE.log'.
22:50:01 INFO  : Launching XSCT server: xsct -n  -interactive /home/y/work/kv260/2022.1/WorkSpace/add7/temp_xsdb_launch_script.tcl
22:50:01 INFO  : Registering command handlers for Vitis TCF services
22:50:02 INFO  : Platform repository initialization has completed.
22:50:04 INFO  : XSCT server has started successfully.
22:50:04 INFO  : Successfully done setting XSCT server connection channel  
22:50:04 INFO  : plnx-install-location is set to ''
22:50:04 INFO  : Successfully done setting workspace for the tool. 
22:50:04 INFO  : Successfully done query RDI_DATADIR 
23:54:55 INFO  : Build configuration of 'add_system' is updated to 'Hardware'
23:54:55 INFO  : Build configuration of system project is automatically updated to 'Hardware'.
23:54:55 INFO  : Build configuration of 'add_kernels' is updated to 'Hardware'
23:54:55 INFO  : Build configuration of 'add' is updated to 'Hardware'
00:00:07 INFO  : Added binary container 'binary_container_1' in project 'add_system_hw_link'
00:00:07 INFO  : Added kernel '[krnl_vadd - add_kernels/src/kernel_add.cpp]' in binary container 'binary_container_1' of project 'add_system_hw_link'
